Route_State,Route_Volume,Average_Lead_Time,Lead_Time_Variability
Lot's O' Nuts → Alabama,34,1295.21,253.07
Lot's O' Nuts → Alberta,16,1273.88,266.92
Lot's O' Nuts → Arizona,111,1306.2,253.9
Lot's O' Nuts → Arkansas,31,1285.35,274.53
Lot's O' Nuts → British Columbia,18,1273.78,307.08
Lot's O' Nuts → California,1125,1316.91,265.37
Lot's O' Nuts → Colorado,103,1347.53,252.65
Lot's O' Nuts → Connecticut,47,1420.55,249.39
Lot's O' Nuts → Delaware,43,1273.3,251.92
Lot's O' Nuts → District of Columbia,8,1365.88,168.58
Lot's O' Nuts → Florida,209,1318.61,283.18
Lot's O' Nuts → Georgia,110,1329.56,243.44
Lot's O' Nuts → Idaho,14,1351.36,255.75
Lot's O' Nuts → Illinois,267,1319.93,268.39
Lot's O' Nuts → Indiana,90,1366.79,236.12
Lot's O' Nuts → Iowa,16,1479.0,187.51
Lot's O' Nuts → Kansas,15,1248.87,216.1
Lot's O' Nuts → Kentucky,77,1325.4,276.27
Lot's O' Nuts → Louisiana,24,1302.96,283.01
Lot's O' Nuts → Maine,6,1213.5,149.66
Lot's O' Nuts → Manitoba,2,1454.0,258.8
Lot's O' Nuts → Maryland,60,1370.67,221.92
Lot's O' Nuts → Massachusetts,76,1292.12,252.38
Lot's O' Nuts → Michigan,147,1303.01,247.2
Lot's O' Nuts → Minnesota,43,1350.4,282.63
Lot's O' Nuts → Mississippi,30,1297.67,286.78
Lot's O' Nuts → Missouri,36,1364.83,267.22
Lot's O' Nuts → Montana,8,1319.25,234.0
Lot's O' Nuts → Nebraska,23,1336.13,237.68
Lot's O' Nuts → Nevada,24,1243.25,239.22
Lot's O' Nuts → New Brunswick,4,1273.25,298.43
Lot's O' Nuts → New Hampshire,13,1272.46,210.88
Lot's O' Nuts → New Jersey,65,1335.66,278.67
Lot's O' Nuts → New Mexico,18,1456.94,258.26
Lot's O' Nuts → New York,645,1330.52,249.26
Lot's O' Nuts → Newfoundland and Labrador,6,1216.17,357.45
Lot's O' Nuts → North Carolina,143,1314.2,249.31
Lot's O' Nuts → North Dakota,5,1638.2,1.64
Lot's O' Nuts → Ohio,262,1334.11,260.44
Lot's O' Nuts → Oklahoma,41,1282.68,237.45
